angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.1,"[820, 185, 295, 374]",0.0,0.16,0.0,0.32,0.38,0.05
0.09,"[820, 186, 295, 373]",0.0,0.17,0.0,0.42,0.26,0.07
0.08,"[821, 186, 294, 373]",0.0,0.16,0.0,0.44,0.23,0.08
0.07,"[821, 186, 294, 372]",0.0,0.17,0.0,0.45,0.23,0.08
0.07,"[821, 186, 294, 372]",0.0,0.17,0.0,0.44,0.24,0.08
0.07,"[821, 185, 294, 374]",0.0,0.21,0.0,0.19,0.37,0.15
0.08,"[821, 185, 294, 374]",0.0,0.21,0.0,0.19,0.37,0.15
0.06,"[820, 185, 296, 375]",0.0,0.21,0.0,0.19,0.34,0.19
0.07,"[821, 186, 294, 373]",0.0,0.21,0.0,0.22,0.31,0.19
0.08,"[821, 185, 294, 374]",0.0,0.22,0.0,0.22,0.33,0.15
0.07,"[821, 187, 294, 373]",0.0,0.23,0.0,0.15,0.36,0.18
0.07,"[821, 187, 294, 373]",0.0,0.22,0.0,0.16,0.34,0.2
0.07,"[821, 187, 294, 373]",0.0,0.22,0.0,0.16,0.34,0.2
0.09,"[820, 186, 295, 376]",0.0,0.14,0.0,0.25,0.48,0.04
0.09,"[820, 186, 296, 376]",0.0,0.14,0.0,0.25,0.48,0.04
0.05,"[821, 186, 295, 374]",0.0,0.17,0.0,0.21,0.39,0.17
0.06,"[820, 186, 296, 374]",0.0,0.21,0.0,0.2,0.35,0.18
0.06,"[820, 186, 296, 374]",0.0,0.21,0.0,0.2,0.35,0.18
0.09,"[820, 185, 296, 376]",0.0,0.17,0.0,0.24,0.46,0.03
0.09,"[820, 185, 296, 376]",0.0,0.14,0.0,0.4,0.33,0.04
0.06,"[820, 186, 295, 375]",0.0,0.21,0.0,0.26,0.42,0.05
0.06,"[820, 186, 295, 375]",0.0,0.21,0.0,0.24,0.43,0.05
0.06,"[820, 186, 295, 375]",0.0,0.22,0.0,0.24,0.43,0.05
0.07,"[820, 186, 296, 375]",0.0,0.16,0.0,0.25,0.48,0.03
0.07,"[819, 185, 296, 376]",0.0,0.19,0.0,0.2,0.5,0.03
0.07,"[844, 200, 278, 348]",0.0,0.07,0.0,0.53,0.31,0.01
0.06,"[844, 200, 278, 347]",0.0,0.15,0.0,0.41,0.36,0.01
0.06,"[844, 200, 278, 347]",0.0,0.15,0.0,0.41,0.36,0.02
0.07,"[820, 187, 295, 373]",0.0,0.19,0.0,0.18,0.51,0.05
0.07,"[820, 187, 295, 373]",0.0,0.19,0.0,0.17,0.51,0.05
0.08,"[820, 186, 295, 375]",0.0,0.17,0.0,0.19,0.52,0.04
0.08,"[820, 186, 295, 375]",0.0,0.18,0.0,0.18,0.53,0.04
0.04,"[819, 186, 296, 374]",0.0,0.22,0.0,0.2,0.37,0.17
0.07,"[821, 186, 294, 372]",0.0,0.17,0.0,0.21,0.37,0.17
